Scenario Name,Date,Euro area real GDP growth,Euro area inflation,Euro area bilateral dollar exchange rate (USD/euro),Developing Asia real GDP growth,Developing Asia inflation,"Developing Asia bilateral dollar exchange rate (F/USD, index)",Japan real GDP growth,Japan inflation,Japan bilateral dollar exchange rate (yen/USD),U.K. real GDP growth,U.K. inflation,U.K. bilateral dollar exchange rate (USD/pound)
Actual,1983 Q1,2.7,,,,,,2.9,0.3,239.0,7.9,3.4,1.483
Actual,1983 Q2,2.6,,,,,,3.1,2.4,239.3,2.8,3.0,1.533
Actual,1983 Q3,1.0,,,,,,5.5,0.5,235.7,4.7,8.0,1.498
Actual,1983 Q4,4.4,,,,,,2.9,3.4,231.7,3.0,5.6,1.452
Actual,1984 Q1,3.5,,,,,,3.8,3.5,224.8,3.4,3.7,1.438
Actual,1984 Q2,-1.9,,,,,,8.6,1.0,237.3,-4.0,3.4,1.358
Actual,1984 Q3,4.2,,,,,,3.0,1.1,246.9,3.0,6.1,1.234
Actual,1984 Q4,2.1,,,,,,1.5,3.6,251.6,7.4,6.1,1.158
Actual,1985 Q1,0.9,,,,,,5.5,2.4,251.0,3.9,6.3,1.236
Actual,1985 Q2,3.9,,,,,,7.7,1.4,248.4,8.8,9.6,1.310
Actual,1985 Q3,3.4,,,,,,6.1,1.8,216.5,-0.1,3.6,1.409
Actual,1985 Q4,2.4,,,,,,6.5,1.1,200.3,0.2,2.5,1.445
Actual,1986 Q1,-1.4,,,,,,0.2,2.1,177.6,4.3,4.0,1.474
Actual,1986 Q2,7.5,,,,,,1.2,-1.6,163.8,3.6,1.0,1.532
Actual,1986 Q3,2.0,,,,,,2.8,-0.6,154.4,2.5,3.2,1.447
Actual,1986 Q4,1.0,,,,,,4.7,-0.8,158.3,7.9,5.7,1.483
Actual,1987 Q1,-1.9,,,,,,1.4,0.0,145.7,2.8,6.1,1.607
Actual,1987 Q2,6.9,,,,,,7.1,1.9,146.8,6.1,1.9,1.613
Actual,1987 Q3,4.4,,,,,,7.5,0.6,146.5,10.2,3.8,1.625
Actual,1987 Q4,5.2,,,,,,10.6,0.5,121.3,4.6,4.7,1.886
Actual,1988 Q1,2.2,,,,,,6.3,0.0,124.1,6.6,2.8,1.887
Actual,1988 Q2,3.7,,,,,,3.0,-0.3,133.5,2.1,2.8,1.709
Actual,1988 Q3,5.0,,,,,,7.6,2.4,133.9,5.1,5.8,1.691
Actual,1988 Q4,3.8,,,,,,4.5,2.1,125.1,3.2,5.1,1.809
Actual,1989 Q1,4.8,,,,,,9.8,0.2,132.8,2.0,6.2,1.685
Actual,1989 Q2,3.9,,,,,,-4.7,6.4,144.0,2.5,4.0,1.549
Actual,1989 Q3,2.4,,,,,,6.4,2.5,139.6,0.7,5.2,1.615
Actual,1989 Q4,4.2,,,,,,11.4,1.5,143.8,-0.1,6.7,1.615
Actual,1990 Q1,5.5,,,,,,-2.1,3.9,157.8,2.0,7.6,1.648
Actual,1990 Q2,1.8,3.1,,,,,10.2,2.4,152.4,2.7,7.4,1.745
Actual,1990 Q3,3.8,3.7,,,,,8.4,2.6,138.3,-4.3,8.5,1.874
